,Data,Ora,ID,Temperatura °C,Durata nominale,Durata effettiva,HV settato,HV letto,No Data,current,Soglia A,Soglia B,Conteggi A,Conteggi B,Coincidenze,Coincidenze analizzate
0,2023-10-06,10:13,9,255,60000,60001,2015,1862,0,8165,900,850,165351,136000,2408,2407
1,2023-10-06,16:12,9,243,60000,60001,2015,1831,0,6505,900,850,26258,20880,237,374
2,2023-10-06,16:24,9,264,60000,60001,2015,1828,0,8425,900,850,167878,136430,2446,1131
3,2023-10-06,16:35,9,263,60000,60001,2015,1830,0,6416,900,850,23612,18049,229,1104
4,2023-10-06,16:47,9,262,60000,60001,2015,1830,0,6421,900,850,23343,18168,218,1026
5,2023-10-06,16:59,9,263,60000,60001,2015,1827,0,6421,900,850,23558,18443,246,867
6,2023-10-06,17:11,9,261,60000,60001,2015,1827,0,6418,900,850,23738,18329,197,1016
7,2023-10-06,17:23,9,263,60000,60001,2015,1831,0,6416,900,850,24012,18400,232,1299
8,2023-10-06,17:34,9,263,60000,60001,2015,1829,0,6418,900,850,24100,18627,217,1556
9,2023-10-06,17:46,9,261,60000,60001,2015,1831,0,6414,900,850,24077,18416,221,1403
10,2023-10-06,17:58,9,263,60000,60001,2015,1827,0,6415,900,850,24032,18701,191,2075
11,2023-10-06,18:55,9,256,60000,60001,2015,1867,0,8346,900,850,172600,141066,2703,1330
12,2023-10-07,10:13,9,256,60000,60001,2015,1865,0,8161,900,850,161665,131640,2306,2214
13,2023-10-08,12:44,9,256,60000,60001,2015,1866,0,8365,900,850,166450,137186,2394,2063
14,2023-10-08,12:56,9,257,60000,60001,2015,1866,0,8322,900,850,162935,133975,2342,1172
15,2023-10-08,13:08,9,258,60000,60001,2015,1869,0,8333,900,850,163120,133444,2330,2253
16,2023-10-08,13:20,9,257,60000,60001,2015,1865,0,8343,900,850,162923,133178,2253,1795
17,2023-10-08,13:32,9,259,60000,60001,2015,1824,0,8356,900,850,163515,133056,2270,1804
18,2023-10-08,13:43,9,255,60000,60001,2015,1869,0,8357,900,850,163200,133599,2306,2191
19,2023-10-08,13:55,9,262,60000,60001,2015,1870,0,8361,900,850,163204,133332,2263,1829
20,2023-10-08,14:07,9,259,60000,60001,2015,1827,0,8313,900,850,162476,133653,2336,1348
21,2023-10-08,17:45,9,254,60000,60001,2015,1863,0,8164,900,850,153079,123510,1982,1799
22,2023-10-08,17:57,9,257,60000,60001,2015,1830,0,8403,900,850,164696,136182,2368,1673
23,2023-10-08,18:08,9,258,60000,60001,2015,1869,0,8345,900,850,164124,134813,2343,1486
